country,population,gdppercapita,gunsper100,gunstotal,homicidetotal,homicidesper100,region
United States,309876170.00,37330.00,101.05,270000000.00,10945.00,3.43,North America
Switzerland,7830534.00,38827.00,45.70,3400000.00,57.00,0.77,Europe
Finland,5367693.00,26953.00,45.30,2400000.00,24.00,0.45,Europe
Serbia,9059046.00,1195.00,37.80,3050000.00,45.00,0.46,Europe
Cyprus,1103685.00,15328.00,36.40,275000.00,5.00,0.46,Europe
Uruguay,3374414.00,9097.00,31.80,1100000.00,93.00,2.80,South/Latin America
Sweden,9382297.00,32631.00,31.60,2800000.00,37.00,0.41,Europe
Norway,4891251.00,39970.00,31.30,1400000.00,2.00,0.05,Europe
France,62961136.00,22758.00,31.20,19000000.00,35.00,0.06,Europe
Canada,34126173.00,25575.00,30.80,9950000.00,173.00,0.51,North America
Austria,8391986.00,26643.00,30.40,2500000.00,18.00,0.22,Europe
Germany,80435307.00,25420.00,30.30,25000000.00,158.00,0.19,Europe
Macedonia,2062443.00,2220.00,24.10,490000.00,25.00,1.21,Europe
New Zealand,4369027.00,14629.00,22.60,925000.00,7.00,0.16,Asia & Pacific
Greece,11177509.00,13452.00,22.50,2500000.00,29.00,0.26,Europe
Palau,20470.00,5757.00,21.70,700000.00,569.00,16.18,South/Latin America
Croatia,4316425.00,6255.00,21.70,950000.00,17.00,0.39,Europe
Lebanon,4337156.00,6746.00,21.00,750000.00,31.00,0.76,Arab States
Qatar,1765513.00,32356.00,19.20,520100.00,1.00,0.14,Arab States
Latvia,2090519.00,5011.00,19.00,280000.00,5.00,0.22,Europe
Paraguay,6209877.00,1579.00,18.80,750000.00,757.00,2.63,South/Latin America
Bosnia and Herzegovina,3835258.00,2183.00,17.30,675000.00,18.00,0.48,Europe
Belgium,10929978.00,24550.00,17.20,1800000.00,70.00,0.68,Europe
Papua New Guinea,6847517.00,744.00,17.00,1000000.00,466.00,7.35,South/Latin America
Czech Republic,10506617.00,7800.00,16.30,1600000.00,20.00,0.19,Europe
Luxembourg,507889.00,52223.00,15.30,70000.00,3.00,0.62,Europe
Mexico,118617542.00,6125.00,15.00,15500000.00,11309.00,9.97,South/Latin America
Australia,22162863.00,25191.00,15.00,3050000.00,30.00,0.14,Asia & Pacific
Mauritius,1247951.00,5181.00,14.70,180000.00,1.00,0.10,Africa
Guyana,753362.00,1211.00,14.60,110000.00,85.00,11.46,South/Latin America
Slovenia,2052480.00,12732.00,13.50,270000.00,2.00,0.10,Europe
Guatemala,14732261.00,1863.00,13.10,1650000.00,5009.00,34.81,South/Latin America
South Africa,51621594.00,3753.00,12.70,5950000.00,8319.00,17.03,Africa
Turkey,72310416.00,5356.00,12.50,9000000.00,535.00,0.77,Europe
Armenia,2963496.00,1327.00,12.50,380000.00,9.00,0.29,CIS
Denmark,5550959.00,30668.00,12.00,650000.00,15.00,0.27,Europe
Italy,59588007.00,18944.00,11.90,7000000.00,417.00,0.71,Europe
Jordan,6517912.00,2579.00,11.50,630000.00,26.00,0.49,Arab States
Venezuela,28995745.00,5528.00,10.70,2850000.00,11115.00,38.97,South/Latin America
Chile,17015048.00,6782.00,10.70,1750000.00,353.00,2.16,South/Latin America
Spain,46601492.00,15419.00,10.40,4500000.00,90.00,0.20,Europe
Argentina,41222875.00,10749.00,10.20,3950000.00,1198.00,3.02,South/Latin America
Belize,321609.00,3542.00,10.00,29000.00,68.00,21.82,South/Latin America
Costa Rica,4545273.00,5227.00,9.90,430000.00,201.00,4.59,South/Latin America
Estonia,1332089.00,6026.00,9.20,123000.00,3.00,0.24,Europe
Zambia,13917439.00,435.00,8.90,230000.00,28.00,0.35,Africa
Albania,2901883.00,1915.00,8.60,270000.00,56.00,1.76,Europe
Ireland,4617334.00,27599.00,8.60,360000.00,21.00,0.48,Europe
Portugal,10584837.00,11748.00,8.50,900000.00,44.00,0.41,Europe
Slovak Republic,5406896.00,8427.00,8.30,450000.00,10.00,0.18,Europe
Brazil,198614208.00,4717.00,8.00,14840000.00,34678.00,18.10,South/Latin America
Nicaragua,5737722.00,1179.00,7.70,395000.00,338.00,5.92,South/Latin America
Algeria,36036159.00,2232.00,7.60,1900000.00,20.00,0.06,Arab States
Georgia,4250132.00,1257.00,7.30,330000.00,24.00,0.55,CIS
Belarus,9492122.00,2740.00,7.30,710000.00,12.00,0.12,CIS
Israel,7420368.00,22239.00,7.30,500000.00,6.00,0.09,Europe
Moldova,4084483.00,597.00,7.10,300000.00,8.00,0.22,Europe
Ukraine,45647497.00,1037.00,6.60,3100000.00,100.00,0.22,CIS
Maldives,332575.00,3800.00,6.50,21000.00,5.00,1.63,Asia & Pacific
United Kingdom,62716684.00,28244.00,6.40,4060000.00,46.00,0.08,Europe
Honduras,7503875.00,1392.00,6.20,500000.00,5201.00,68.43,South/Latin America
Bulgaria,7407297.00,2555.00,6.20,480000.00,51.00,0.67,Europe
Colombia,45918101.00,3218.00,5.90,2700000.00,12539.00,27.09,South/Latin America
El Salvador,6038306.00,2556.00,5.80,400000.00,2446.00,39.90,South/Latin America
Hungary,10014633.00,5634.00,5.50,560000.00,7.00,0.07,Europe
Bahamas,360830.00,19395.00,5.30,17000.00,52.00,15.37,South/Latin America
Dominican Republic,9897983.00,4049.00,5.10,450000.00,1618.00,16.30,South/Latin America
Cuba,11308133.00,4495.00,4.80,545000.00,27.00,0.24,South/Latin America
Peru,29373644.00,3180.00,4.70,3900000.00,7349.00,8.93,Asia & Pacific
Zimbabwe,13973897.00,323.00,4.40,400000.00,598.00,4.78,Africa
Cambodia,14363586.00,558.00,4.30,600000.00,187.00,1.44,Asia & Pacific
India,1230984504.00,795.00,4.20,46000000.00,3093.00,0.26,Asia & Pacific
Netherlands,16631571.00,26501.00,3.90,510000.00,55.00,0.33,Europe
Turkmenistan,5041995.00,1210.00,3.80,180000.00,5.00,0.10,CIS
