country,population,gdppercapita,gunsper100,gunstotal,homicidetotal,homicidesper100,region
United States,309876170,37329.61591,101.05,270000000,10945,3.43,North America
Switzerland,7830534,38826.84298,45.7,3400000,57,0.77,Europe
Finland,5367693,26953.22055,45.3,2400000,24,0.45,Europe
Serbia,9059046,1194.639994,37.8,3050000,45,0.46,Europe
Cyprus,1103685,15328.33481,36.4,275000,5,0.46,Europe
Uruguay,3374414,9096.794459,31.8,1100000,93,2.8,South/Latin America
Sweden,9382297,32631.19271,31.6,2800000,37,0.41,Europe
Norway,4891251,39970.29253,31.3,1400000,2,0.05,Europe
France,62961136,22758.15413,31.2,19000000,35,0.06,Europe
Canada,34126173,25575.21698,30.8,9950000,173,0.51,North America
Austria,8391986,26642.99386,30.4,2500000,18,0.22,Europe
Germany,80435307,25420.27572,30.3,25000000,158,0.19,Europe
Macedonia,2062443,2220.04388,24.1,490000,25,1.21,Europe
New Zealand,4369027,14629.2181,22.6,925000,7,0.16,Asia & Pacific
Greece,11177509,13452.02377,22.5,2500000,29,0.26,Europe
Palau,20470,5756.810516,21.7,700000,569,16.18,South/Latin America
Croatia,4316425,6255.239892,21.7,950000,17,0.39,Europe
Lebanon,4337156,6745.659909,21,750000,31,0.76,Arab States
Qatar,1765513,32356.40757,19.2,520100,1,0.14,Arab States
Latvia,2090519,5011.201551,19,280000,5,0.22,Europe
Paraguay,6209877,1578.636338,18.8,750000,757,2.63,South/Latin America
Bosnia and Herzegovina,3835258,2183.25835,17.3,675000,18,0.48,Europe
Belgium,10929978,24550.39655,17.2,1800000,70,0.68,Europe
Papua New Guinea,6847517,744.2105476,17,1000000,466,7.35,South/Latin America
Czech Republic,10506617,7799.509506,16.3,1600000,20,0.19,Europe
Luxembourg,507889,52222.57667,15.3,70000,3,0.62,Europe
Mexico,118617542,6124.709571,15,15500000,11309,9.97,South/Latin America
Australia,22162863,25190.83986,15,3050000,30,0.14,Asia & Pacific
Mauritius,1247951,5180.967874,14.7,180000,1,0.1,Africa
Guyana,753362,1210.569558,14.6,110000,85,11.46,South/Latin America
Slovenia,2052480,12732.04555,13.5,270000,2,0.1,Europe
Guatemala,14732261,1862.66726,13.1,1650000,5009,34.81,South/Latin America
South Africa,51621594,3753.445365,12.7,5950000,8319,17.03,Africa
Turkey,72310416,5356.000439,12.5,9000000,535,0.77,Europe
Armenia,2963496,1326.710864,12.5,380000,9,0.29,CIS
Denmark,5550959,30667.82486,12,650000,15,0.27,Europe
Italy,59588007,18944.41381,11.9,7000000,417,0.71,Europe
Jordan,6517912,2579.382449,11.5,630000,26,0.49,Arab States
Venezuela,28995745,5528.363114,10.7,2850000,11115,38.97,South/Latin America
Chile,17015048,6781.696484,10.7,1750000,353,2.16,South/Latin America
Spain,46601492,15418.82018,10.4,4500000,90,0.2,Europe
Argentina,41222875,10749.31922,10.2,3950000,1198,3.02,South/Latin America
Belize,321609,3542.364501,10,29000,68,21.82,South/Latin America
Costa Rica,4545273,5226.566178,9.9,430000,201,4.59,South/Latin America
Estonia,1332089,6025.713393,9.2,123000,3,0.24,Europe
