state,suiciderate,homiciderate,firearmdeathrate,firearmdeaths,gdppercapita,population,gunownership,region
Alabama,14.7,7.7,16.7,808,37083,4846411,48.9,South
Alaska ,22.7,5,18.8,142,67366,737046,61.7,West
Arizona,18.5,4.8,13.4,917,38438,6728783,32.3,West
Arkansas ,17.4,7.3,16.4,491,37252,2966835,57.9,South
California ,10.9,4.7,7.4,2935,54606,38792291,20.1,West
Colorado,20.2,3.3,12.1,658,52060,5355588,34.3,West
Connecticut,10.5,2.8,4.9,186,63650,3594762,16.6,Northeast
Delaware ,13.5,6.1,11.1,102,62904,935968,5.2,Northeast
Florida ,15.3,5.8,11.5,2408,38497,19905569,32.5,South
Georgia,12.8,6.5,13.7,1388,42694,10097132,31.6,South
Hawaii ,14.4,2.1,2.6,40,49073,1420257,45.1,West
Idaho,19.6,2.2,13.1,212,35083,1634806,56.9,West
Illinois ,10.9,6.1,9,1167,52359,12882189,26.2,Midwest
Indiana ,14.4,5.5,12.3,812,44539,6597880,33.8,Midwest
Iowa,13.1,2.5,7.4,239,49397,3109481,33.8,Midwest
Kansas,15.7,3.6,11.3,328,45570,2902507,32.2,Midwest
Kentucky ,16.5,4.6,13.8,627,38860,4412617,42.4,South
Louisiana ,14.6,11.6,18.9,890,45067,4648990,44.5,South
Maine ,16.5,1.7,9.3,132,37807,1330256,22.6,Northeast
Maryland ,10.1,6.5,9,544,53879,5975346,20.7,Northeast
Massachusetts,8.8,1.6,3.2,227,62145,6755124,22.6,Northeast
Michigan,13.7,5.9,11.1,1093,41695,9916306,28.8,Midwest
Minnesota ,12.6,1.9,6.6,374,53499,5457125,36.7,Midwest
Mississippi ,12.7,11.1,18,539,31651,2993443,42.8,South
Missouri,16.8,7.3,15.2,939,42582,6063827,27.1,Midwest
Montana,24.5,2.9,15.8,170,38820,1023252,52.3,West
Nebraska ,13.3,3.3,9.4,178,52317,1882980,19.8,Midwest
Nevada,20.2,6.2,14.7,426,43216,2838281,37.5,West
New Hampshire ,18.6,*,8.6,121,48982,1327996,14.4,Northeast
New Jersey,8.8,4.2,5.3,468,55841,8938844,11.3,Northeast
New Mexico,21.5,6.5,15.8,336,40866,2085567,49.9,West
New York,8.6,3.4,4.2,869,63217,19748858,10.3,Northeast
North Carolina,13.6,5.5,11.7,1201,43332,9940387,28.7,South
North Dakota ,18.5,*,12.1,94,69550,740040,47.9,Midwest
Ohio,12.9,5,10.3,1203,46137,11596998,19.6,Midwest
Oklahoma,19,6.4,15.6,608,43588,3879610,31.2,South
Oregon,19.7,2.5,11.7,497,48264,3971202,26.6,West
Pennsylvania ,14.2,4.8,10.5,1389,48203,12793767,27.1,Northeast
Rhode Island ,10.7,2.6,2.9,33,47852,1054907,5.8,Northeast
South Carolina,15.6,7.5,15.5,764,35962,4829160,44.4,South
South Dakota ,16.5,3,10.3,89,46917,853304,35,Midwest
Tennessee,14.5,5.8,14.7,986,41955,6547779,39.4,South
Texas ,12.1,5.2,10.6,2823,52742,26979078,35.7,South
Utah,19,2.1,12.3,337,43154,2944498,31.9,West
Vermont,19.8,*,10.3,69,43435,626767,28.8,Northeast
Virginia,13.5,4.1,10.3,885,51101,8328098,29.3,South
Washington,15.8,3,9.6,698,54662,7063166,27.7,West
West Virginia ,19.4,5.6,14.5,284,36337,1848751,54.2,South
Wisconsin ,13.4,2.9,8.2,486,46676,5759432,24.7,Midwest
Wyoming ,20.5,4.1,16,92,60189,584304,53.8,West
